n,k,pzl,bt_valid,bt_time_ns,bt_recs,bt_space_B,cp_valid,cp_time_ns,cp_recs,cp_space_B
2,1,3 4 1 2 2 1 3 4 1 0 4 3 4 3 2 1,True,0,1,1683792,True,0,0,1224
2,1,0 3 2 4 4 2 3 1 2 4 1 3 3 1 4 2,True,0,1,608,True,0,0,1224
2,1,4 0 3 1 3 1 2 4 1 3 4 2 2 4 1 3,True,0,1,608,True,0,0,1224
2,1,2 1 3 4 4 3 1 2 1 4 0 3 3 2 4 1,True,0,1,608,True,0,0,1224
2,1,2 3 4 1 4 1 0 2 3 2 1 4 1 4 2 3,True,0,1,608,True,0,0,1224
2,1,4 2 3 1 1 0 2 4 3 1 4 2 2 4 1 3,True,0,1,608,True,0,0,1224
2,1,4 3 1 0 1 2 4 3 3 1 2 4 2 4 3 1,True,0,1,608,True,0,0,1224
2,1,3 1 0 4 2 4 1 3 1 3 4 2 4 2 3 1,True,0,1,608,True,0,0,1224
2,1,4 2 3 1 3 1 4 2 2 0 1 4 1 4 2 3,True,0,1,608,True,0,0,1224
2,1,3 1 4 2 4 2 3 1 2 4 0 3 1 3 2 4,True,0,1,608,True,0,0,1224
2,1,3 1 4 2 4 2 1 3 1 3 2 4 0 4 3 1,True,0,1,608,True,0,0,1224
2,1,2 4 3 1 3 1 2 4 4 3 1 0 1 2 4 3,True,0,1,608,True,0,0,1224
2,1,3 4 2 1 2 1 3 4 1 3 4 2 4 2 0 3,True,0,1,608,True,0,0,1224
2,1,1 4 3 2 3 2 1 0 2 3 4 1 4 1 2 3,True,0,1,608,True,0,0,1224
2,1,2 1 3 0 4 3 1 2 1 2 4 3 3 4 2 1,True,0,1,608,True,0,0,1224
2,1,4 3 1 0 1 2 3 4 3 4 2 1 2 1 4 3,True,0,1,608,True,0,0,1224
2,1,0 4 3 2 2 3 4 1 4 2 1 3 3 1 2 4,True,0,1,608,True,0,0,1224
2,1,1 2 4 3 4 3 2 0 2 1 3 4 3 4 1 2,True,0,1,608,True,0,0,1224
2,1,3 2 0 4 4 1 3 2 2 3 4 1 1 4 2 3,True,0,1,608,True,0,0,1224
2,1,4 2 3 1 1 3 2 4 2 4 1 3 3 1 4 0,True,0,1,608,True,0,0,1224
2,1,1 3 2 4 4 2 3 1 0 4 1 2 2 1 4 3,True,0,1,608,True,0,0,1224
2,1,1 2 3 4 3 4 2 1 2 1 4 0 4 3 1 2,True,0,1,608,True,0,0,1224
2,1,0 1 3 2 2 3 1 4 1 4 2 3 3 2 4 1,True,0,1,608,True,0,0,1224
2,1,2 1 3 0 3 4 2 1 1 3 4 2 4 2 1 3,True,0,1,608,True,0,0,1224
2,1,2 1 4 0 4 3 2 1 3 4 1 2 1 2 3 4,True,0,1,608,True,0,0,1224
2,1,0 2 3 4 4 3 2 1 2 4 1 3 3 1 4 2,True,0,1,608,True,0,0,1224
2,1,4 2 3 1 3 1 4 2 2 3 1 4 1 4 0 3,True,0,1,608,True,0,0,1224
2,1,0 1 2 3 3 2 1 4 1 4 3 2 2 3 4 1,True,0,1,608,True,0,0,1224
2,1,2 4 3 1 1 3 4 2 0 2 1 4 4 1 2 3,True,0,1,608,True,0,0,1224
2,1,1 3 2 4 4 2 3 1 3 1 4 2 0 4 1 3,True,0,1,608,True,0,0,1224
2,1,1 2 4 3 3 4 2 1 4 3 1 2 2 0 3 4,True,0,1,608,True,0,0,1224
2,1,2 1 4 3 4 3 2 1 3 2 1 4 1 4 3 0,True,0,1,608,True,0,0,1224
2,1,4 3 2 1 2 1 4 3 1 2 3 0 3 4 1 2,True,0,1,608,True,0,0,1224
2,1,1 4 2 3 3 2 1 4 2 3 4 0 4 1 3 2,True,0,1,608,True,0,0,1224
2,1,0 2 1 4 4 1 2 3 2 4 3 1 1 3 4 2,True,0,1,608,True,0,0,1224
2,1,4 3 2 1 1 2 3 4 2 4 1 3 3 1 4 0,True,0,1,608,True,0,0,1224
2,1,2 1 4 3 3 4 1 2 4 3 2 0 1 2 3 4,True,0,1,608,True,0,0,1224
2,1,2 1 4 3 3 4 1 2 4 3 2 1 1 2 0 4,True,0,1,608,True,0,0,1224
2,1,4 2 1 3 1 3 0 4 2 4 3 1 3 1 4 2,True,0,1,608,True,0,0,1224
2,1,2 3 4 1 4 1 2 0 3 4 1 2 1 2 3 4,True,0,1,608,True,0,0,1224
2,2,3 0 1 2 0 1 4 3 4 2 3 1 1 3 2 4,True,0,2,704,True,0,0,1440
2,2,1 4 2 3 2 3 4 0 0 2 1 4 4 1 3 2,True,0,2,704,True,0,0,1440
2,2,3 4 2 1 2 1 0 4 4 3 1 2 1 0 4 3,True,0,2,704,True,0,0,1440
2,2,1 2 3 4 4 3 2 1 3 4 1 2 0 1 4 0,True,0,2,704,True,0,0,1440
2,2,2 3 4 0 1 4 2 3 4 0 3 2 3 2 1 4,True,0,2,704,True,0,0,1440
2,2,3 2 4 0 1 4 2 3 0 1 3 2 2 3 1 4,True,0,2,704,True,0,0,1440
2,2,3 2 0 4 1 4 2 0 4 1 3 2 2 3 4 1,True,0,2,704,True,0,0,1440
2,2,4 1 2 3 2 3 4 1 3 0 1 2 0 2 3 4,True,0,2,704,True,0,0,1440
2,2,4 3 2 0 1 2 3 4 0 4 1 2 2 1 4 3,True,0,2,704,True,0,0,1440
2,2,4 2 3 0 1 3 2 4 3 0 1 2 2 1 4 3,True,0,2,704,True,0,0,1440
2,2,1 4 2 3 3 2 4 1 2 1 3 4 4 0 1 0,True,0,2,704,True,0,0,1440
2,2,2 1 4 3 0 3 2 1 1 2 3 4 0 4 1 2,True,0,2,704,True,0,0,1440
2,2,3 0 4 1 1 4 2 3 2 3 1 4 4 1 3 0,True,0,2,704,True,0,0,1440
2,2,0 1 3 2 3 2 4 1 2 0 1 3 1 3 2 4,True,0,2,704,True,0,0,1440
2,2,4 1 3 0 2 3 1 4 1 4 2 3 3 0 4 1,True,0,2,704,True,0,0,1440
2,2,3 1 4 2 2 4 0 1 4 2 1 0 1 3 2 4,True,15625000,2,704,True,0,0,1440
2,2,2 1 4 3 3 4 0 2 1 2 3 4 0 3 2 1,True,0,2,704,True,0,0,1440
2,2,3 0 2 4 0 2 1 3 2 4 3 1 1 3 4 2,True,0,2,704,True,0,0,1440
2,2,0 4 1 2 2 1 4 3 4 2 3 0 1 3 2 4,True,0,2,704,True,0,0,1440
2,2,4 1 2 3 3 2 1 4 1 4 3 2 0 3 0 1,True,0,2,704,True,0,0,1440
2,2,4 3 1 2 1 2 4 3 2 0 0 4 3 4 2 1,True,0,2,704,True,0,0,1440
2,2,4 2 0 3 0 3 4 2 2 1 3 4 3 4 2 1,True,0,2,704,True,0,0,1440
2,2,2 1 3 0 0 4 2 1 1 3 4 2 4 2 1 3,True,0,2,704,True,0,0,1440
2,2,1 0 3 4 3 0 1 2 2 3 4 1 4 1 2 3,True,0,2,704,True,0,0,1440
2,2,4 0 0 2 1 2 4 3 2 1 3 4 3 4 2 1,True,0,2,704,True,0,0,1440
2,2,4 2 3 1 3 1 0 4 1 3 4 2 0 4 1 3,True,0,2,704,True,0,0,1440
2,2,4 3 2 1 2 1 0 3 3 2 1 4 1 4 0 2,True,0,2,704,True,0,0,1440
2,2,2 3 4 1 4 1 0 0 1 4 2 3 3 2 1 4,True,0,2,704,True,0,0,1440
2,2,1 4 3 2 3 2 1 4 0 3 2 1 2 1 0 3,True,0,2,704,True,0,0,1440
2,2,4 1 3 2 0 3 4 0 3 2 1 4 1 4 2 3,True,0,2,704,True,0,0,1440
2,2,2 3 1 4 1 0 2 3 0 2 3 1 3 1 4 2,True,0,2,704,True,0,0,1440
2,2,3 2 1 4 4 1 3 2 1 4 0 3 2 0 4 1,True,0,2,704,True,0,0,1440
2,2,4 1 2 3 2 3 0 4 1 4 3 2 3 2 0 1,True,0,2,704,True,0,0,1440
2,2,1 4 2 3 2 3 4 0 4 1 0 2 3 2 1 4,True,0,2,704,True,0,0,1440
2,2,3 1 4 2 2 4 0 3 4 2 3 1 1 0 2 4,True,0,2,704,True,0,0,1440
2,2,1 2 4 3 4 3 1 0 2 4 3 0 3 1 2 4,True,0,2,704,True,0,0,1440
2,2,2 4 1 0 3 1 4 2 1 2 3 4 4 0 2 1,True,0,2,704,True,0,0,1440
